thread_id, libro_id, cantidad_palabras, timestamp_inicio_ms, timestamp_termino_ms
123699552310976, 6, 5164, 1761787150440, 1761787150494
123699552310976, 7, 5164, 1761787150496, 1761787150549
123699552310976, 8, 1533, 1761787150549, 1761787150569
123699543918272, 4, 27336, 1761787150440, 1761787150593
123699552310976, 9, 66903, 1761787150569, 1761787150979
123699560703680, 1, 138490, 1761787150440, 1761787151240
123699543918272, 5, 113718, 1761787150593, 1761787151243
123699543918272, 31, 27121, 1761787151266, 1761787151456
123699543918272, 32, 1246, 1761787151456, 1761787151477
123699569096384, 3, 198308, 1761787150440, 1761787151518
123699552310976, 10, 102300, 1761787150979, 1761787151580
123699569096384, 55, 2682, 1761787151541, 1761787151582
123699552310976, 11, 3148, 1761787151580, 1761787151622
123699569096384, 56, 2682, 1761787151582, 1761787151623
123699552310976, 12, 1672, 1761787151622, 1761787151646
123699569096384, 57, 50093, 1761787151623, 1761787151896
123699543918272, 33, 84928, 1761787151477, 1761787151951
123699569096384, 58, 50093, 1761787151896, 1761787152154
123699560703680, 2, 198308, 1761787151240, 1761787152332
123699543918272, 34, 90712, 1761787151951, 1761787152486
123699543918272, 35, 11726, 1761787152486, 1761787152572
123699560703680, 79, 57272, 1761787152380, 1761787152703
123699569096384, 59, 96123, 1761787152154, 1761787152739
123699552310976, 13, 190838, 1761787151646, 1761787152792
123699552310976, 14, 0, 1761787152792, 1761787152795
123699552310976, 15, 0, 1761787152795, 1761787152797
123699543918272, 36, 53657, 1761787152572, 1761787152856
123699543918272, 37, 0, 1761787152856, 1761787152859
123699560703680, 80, 68374, 1761787152703, 1761787153054
123699560703680, 81, 30331, 1761787153054, 1761787153213
123699569096384, 60, 96123, 1761787152739, 1761787153245
123699543918272, 38, 89534, 1761787152859, 1761787153307
123699543918272, 39, 2394, 1761787153307, 1761787153331
123699560703680, 82, 58068, 1761787153213, 1761787153564
123699543918272, 40, 53539, 1761787153331, 1761787153723
123699552310976, 16, 183421, 1761787152797, 1761787153795
123699560703680, 83, 54035, 1761787153564, 1761787153881
123699543918272, 41, 36662, 1761787153723, 1761787153939
123699569096384, 61, 149153, 1761787153245, 1761787154216
123699543918272, 42, 42883, 1761787153939, 1761787154280
123699560703680, 84, 71021, 1761787153881, 1761787154381
123699543918272, 43, 62353, 1761787154280, 1761787154632
123699569096384, 62, 84259, 1761787154216, 1761787154699
123699543918272, 44, 13141, 1761787154632, 1761787154712
123699552310976, 17, 161608, 1761787153795, 1761787154776
123699560703680, 85, 71021, 1761787154381, 1761787154780
123699543918272, 45, 67836, 1761787154712, 1761787155059
123699543918272, 46, 1809, 1761787155059, 1761787155081
123699552310976, 18, 61684, 1761787154776, 1761787155085
123699569096384, 63, 84259, 1761787154699, 1761787155119
123699552310976, 19, 30320, 1761787155085, 1761787155242
123699569096384, 64, 33647, 1761787155119, 1761787155291
123699569096384, 65, 859, 1761787155291, 1761787155298
123699569096384, 66, 25666, 1761787155298, 1761787155434
123699543918272, 47, 76505, 1761787155081, 1761787155468
123699569096384, 67, 16318, 1761787155434, 1761787155530
123699569096384, 68, 16318, 1761787155530, 1761787155658
123699543918272, 48, 59965, 1761787155468, 1761787155813
123699560703680, 86, 219890, 1761787154780, 1761787155845
123699552310976, 20, 129740, 1761787155242, 1761787155903
123699560703680, 87, 20275, 1761787155845, 1761787155963
123699560703680, 88, 66278, 1761787155963, 1761787156293
123699569096384, 69, 149706, 1761787155658, 1761787156364
123699543918272, 49, 139504, 1761787155813, 1761787156502
123699560703680, 89, 73618, 1761787156293, 1761787156708
123699552310976, 21, 206876, 1761787155903, 1761787156899
123699552310976, 22, 11848, 1761787156899, 1761787156972
123699560703680, 90, 85278, 1761787156708, 1761787157144
123699543918272, 50, 156332, 1761787156502, 1761787157271
123699543918272, 51, 2409, 1761787157271, 1761787157295
123699543918272, 52, 24902, 1761787157295, 1761787157430
123699560703680, 91, 73667, 1761787157144, 1761787157510
123699543918272, 53, 28273, 1761787157430, 1761787157577
123699552310976, 23, 142408, 1761787156972, 1761787157651
123699543918272, 54, 28273, 1761787157577, 1761787157753
123699560703680, 92, 85563, 1761787157510, 1761787157972
123699560703680, 93, 78250, 1761787157973, 1761787158382
123699543918272, 103, 85563, 1761787157968, 1761787158398
123699569096384, 70, 426278, 1761787156365, 1761787158471
123699552310976, 24, 166985, 1761787157651, 1761787158480
123699569096384, 71, 9505, 1761787158471, 1761787158531
123699569096384, 72, 490, 1761787158531, 1761787158536
123699552310976, 25, 13953, 1761787158480, 1761787158560
123699552310976, 26, 2394, 1761787158560, 1761787158585
123699560703680, 94, 78050, 1761787158382, 1761787158798
123699543918272, 104, 78250, 1761787158398, 1761787158799
123699569096384, 73, 54035, 1761787158536, 1761787158825
123699552310976, 27, 62353, 1761787158585, 1761787158922
123699552310976, 28, 13141, 1761787158922, 1761787159008
123699552310976, 29, 1809, 1761787159008, 1761787159030
123699569096384, 74, 39041, 1761787158825, 1761787159031
123699543918272, 105, 78050, 1761787158799, 1761787159186
123699560703680, 95, 82589, 1761787158798, 1761787159229
123699552310976, 30, 59965, 1761787159030, 1761787159336
123699569096384, 75, 71950, 1761787159031, 1761787159374
123699569096384, 76, 39041, 1761787159374, 1761787159569
123699560703680, 96, 68201, 1761787159229, 1761787159572
123699569096384, 77, 490, 1761787159569, 1761787159576
123699543918272, 106, 82589, 1761787159186, 1761787159590
123699552310976, 127, 6609, 1761787159572, 1761787159615
123699543918272, 107, 68201, 1761787159590, 1761787159967
123699560703680, 97, 71122, 1761787159572, 1761787159968
123699569096384, 78, 95469, 1761787159576, 1761787160082
123699552310976, 128, 97156, 1761787159615, 1761787160105
123699552310976, 129, 20997, 1761787160105, 1761787160214
123699552310976, 130, 0, 1761787160214, 1761787160217
123699552310976, 131, 0, 1761787160217, 1761787160219
123699552310976, 132, 1618, 1761787160219, 1761787160238
123699543918272, 108, 71122, 1761787159967, 1761787160331
123699560703680, 98, 81857, 1761787159968, 1761787160395
123699552310976, 133, 43306, 1761787160238, 1761787160441
123699552310976, 134, 43306, 1761787160441, 1761787160626
123699560703680, 99, 66278, 1761787160395, 1761787160667
123699543918272, 109, 81857, 1761787160331, 1761787160683
123699552310976, 135, 22506, 1761787160626, 1761787160730
123699552310976, 136, 22506, 1761787160730, 1761787160853
123699543918272, 110, 37887, 1761787160683, 1761787160867
123699560703680, 100, 73618, 1761787160667, 1761787161018
123699552310976, 137, 39537, 1761787160853, 1761787161022
123699552310976, 138, 1764, 1761787161022, 1761787161040
123699552310976, 139, 1764, 1761787161040, 1761787161060
123699543918272, 111, 103542, 1761787160867, 1761787161315
123699560703680, 101, 85278, 1761787161018, 1761787161490
